kernel cost gamma epsilon rmseTrain rmseTest rmseChange Rsquare
1 --- 0 0 0 0 0 NA 0
2 radial 1 0.25 0.1 1.36159228289986 1.11146290816759 22.5045184049052 0.439861824190646
3 radial 1 0.2 0.1 1.39677588756814 1.09625833284912 27.4130235286785 0.410539825160313
4 radial 1 0.15 0.1 1.43894899956587 1.05597990630527 36.2667027065456 0.374407096971566
5 radial 1 0.25 0.1 1.36159228289986 1.11146290816759 22.5045184049052 0.439861824190646
6 radial 1 0.3 0.1 1.32695373407457 1.1077264158974 19.7907457140101 0.46799884899235
7 radial 1 0.5 0.1 1.18900250300413 1.02082023563924 16.4752090028442 0.572863634584651
8 radial 1 0.8 0.1 1.06076044714963 0.822317780695068 28.996413801611 0.660033874665084
9 radial 1 1 0.1 1.00223738817418 0.718647144058066 39.4616810852034 0.696511520366267
10 radial 1 1.5 0.1 0.899181520269627 0.614038546103853 46.4373085329968 0.755715587666509
11 radial 1 2 0.1 0.847677738838417 0.583134588260004 45.3657107474579 0.78289862881824
12 radial 1 3 0.1 0.808721336888791 0.575902373420605 40.4268108994489 0.802394597916705
13 radial 1 10 0.1 0.794896647833186 0.639790078014756 24.2433534292559 0.809092785415061
14 radial 1 20 0.1 0.803291075253328 0.644753483604187 24.5888693400944 0.805039381536051
15 radial 1 100 0.1 0.803720896891158 0.644883599562271 24.6303825119295 0.804830688288627
16 radial 1 0 0.1 1.82233978903366 0.644976654368522 182.543527225472 -0.00336679706872456
17 radial 2 0.1 0.2 1.44832871987802 1.04920954685509 38.0399867899849 0.366224720486735
18 radial 2 10 0.2 0.468028134352549 0.646740077277966 27.6327305519072 0.933817231397835
19 radial 2 20 0.2 0.469252985110535 0.651421711273017 27.9647919327842 0.933470371530136
20 radial 2 100 0.2 0.470589359277164 0.651532810342125 27.7719630067357 0.933090895725944
21 radial 5 10 0.2 0.348516561538255 0.656217496711845 46.8900839607918 0.963301539043773
22 radial 5 10 0.5 0.793596340882924 0.669963591412756 18.4536519677829 0.809716853820606
23 radial 5 10 0.2 0.348516561538255 0.656217496711845 46.8900839607918 0.963301539043773
24 radial 5 10 0.25 0.429805385833625 0.658532919912458 34.7328929447048 0.94418579840645
25 radial 5 10 0.3 0.50906571910352 0.661507408138547 23.0445928737203 0.921702352309272
26 radial 5 10 0.35 0.582470072098201 0.663077744190804 12.1565944263404 0.897494246671194
27 radial 5 10 0.27 0.461464358438584 0.659772280479289 30.0570254174129 0.93566055100429
28 radial 5 10 0.31 0.523998265542237 0.661759740296609 20.8174457232205 0.917041534730297
29 radial 5 10 0.4 0.656063382295684 0.664983907618815 1.34146484161904 0.869955314916542
30 radial 5 10 0.5 0.793596340882924 0.669963591412756 18.4536519677829 0.809716853820606
31 radial 10 10 1 1.317925611964 0.776247640106501 69.7815933821303 0.475213316799891
32 radial 5 1 0.4 0.692304113910371 0.704291484288058 1.70204675835379 0.855191239959422
33 radial 5 10 0.4 0.656063382295684 0.664983907618815 1.34146484161904 0.869955314916542
34 radial 5 5 0.4 0.659875176100377 0.654400875424635 0.836536270247236 0.868439779735475
35 radial 5 3 0.4 0.655474746341737 0.629167861918842 4.18121872001902 0.870188568710388
36 radial 5 6 0.4 0.653675129155662 0.658868808348634 0.788272130530645 0.870900389242459
37 radial 5 5 0.5 0.793738269680239 0.665272730394271 19.3102066891924 0.809648786286358
38 radial 5 8 0.4 0.65227402620539 0.663391771626939 1.6758943805231 0.871453226528778
39 radial 5 7 0.4 0.651800724103295 0.661682134634182 1.49337725981533 0.871639710680574
40 radial 5 4 0.4 0.663142493210779 0.645438645057847 2.74291728400388 0.867133735334871
41 radial 5 4.5 0.4 0.664512779779834 0.651130742495375 2.05519973349345 0.86658407077571
42 radial 5 5 0.4 0.659875176100377 0.654400875424635 0.836536270247236 0.868439779735475
43 radial 5 5.5 0.4 0.65607629005371 0.656885826489007 0.123238529840638 0.869950197722425
44 radial 5 6 0.4 0.653675129155662 0.658868808348634 0.788272130530645 0.870900389242459
